City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
151,bethel,20,US,1582915026,31,41.37,-73.41,41.0,16.11
152,buin,0,CL,1582915177,22,-33.73,-70.75,91.4,8.05
153,tuatapere,58,NZ,1582915177,97,-46.13,167.68,40.48,2.82
154,porto santo,20,PT,1582915177,59,33.07,-16.34,66.2,8.05
155,kaitangata,44,NZ,1582915177,71,-46.28,169.85,51.01,8.99
156,port-cartier,90,CA,1582915177,79,50.03,-66.87,26.01,9.17
157,bathsheba,40,BB,1582915177,58,13.22,-59.52,84.2,17.22
158,huanren,71,CN,1582915177,98,41.26,125.37,19.33,2.15
159,udachnyy,0,RU,1582915177,77,66.42,112.4,-2.2,6.71
160,havre-saint-pierre,90,CA,1582915177,85,50.23,-63.6,21.2,19.46
161,klishkivtsi,40,UA,1582915177,60,48.43,26.26,41.0,6.71
162,tinyahuarco,94,PE,1582915177,56,-10.75,-76.3,50.14,2.17
163,ternuvate,31,UA,1582915177,74,47.83,36.13,37.4,4.47
164,kiunga,54,PG,1582915177,99,-6.12,141.29,73.81,1.39
165,belaya gora,99,RU,1582915178,83,68.53,146.42,6.55,9.93
166,labuhan,100,ID,1582915178,95,-6.88,112.21,75.45,3.62
167,bushehr,0,IR,1582915178,72,28.97,50.84,64.4,6.93
168,coromandel,100,BR,1582915178,86,-18.47,-47.2,73.54,4.72
169,port hedland,13,AU,1582915178,94,-20.32,118.57,82.4,8.05
170,khandbari,64,NP,1582915178,65,27.37,87.2,39.74,4.74
171,aguascalientes,5,MX,1582914908,25,21.88,-102.3,66.2,5.82
172,comodoro rivadavia,12,AR,1582915178,43,-45.87,-67.5,71.6,11.41
173,ribeira grande,20,PT,1582915178,72,38.52,-28.7,64.4,12.75
174,cayenne,90,GF,1582915178,65,4.93,-52.33,82.4,11.41
175,touros,40,BR,1582915178,52,-5.2,-35.46,89.6,21.92
176,shimoda,75,JP,1582915178,75,34.67,138.95,42.8,1.12
177,ilulissat,40,GL,1582915178,43,69.22,-51.1,-7.6,4.7
178,port elizabeth,72,ZA,1582915178,68,-33.92,25.57,64.4,6.93
179,vila,56,PT,1582915178,76,42.03,-8.16,57.0,10.29
180,ambilobe,100,MG,1582915178,91,-13.2,49.05,78.51,2.95
181,georgetown,20,MY,1582914926,88,5.41,100.34,82.4,3.36
182,at-bashi,92,KG,1582915178,87,41.17,75.81,12.87,6.6
183,kloulklubed,64,PW,1582915178,78,7.04,134.26,82.26,21.12
184,cape town,26,ZA,1582915108,46,-33.93,18.42,73.0,17.22
185,upernavik,78,GL,1582915178,85,72.79,-56.15,-18.63,3.49
186,rockland,40,US,1582915179,29,41.17,-74.05,41.0,14.99
187,vao,67,NC,1582915179,85,-22.67,167.48,79.99,17.43
188,mar del plata,77,AR,1582915179,66,-38.0,-57.56,64.99,10.0
189,shubarshi,100,KZ,1582915179,68,48.59,57.19,31.32,22.1
190,panaba,67,MX,1582915179,59,21.28,-88.27,69.8,10.25
191,mahebourg,40,MU,1582915179,94,-20.41,57.7,77.0,4.7
192,white center,90,US,1582915083,100,47.52,-122.35,46.0,9.17
193,cabinda,20,AO,1582915056,74,-5.55,12.2,86.0,8.05
194,kalmunai,50,LK,1582915179,74,7.42,81.82,80.94,14.25
195,torbay,90,CA,1582914913,88,47.67,-52.73,34.0,5.82
196,bama,35,NG,1582915179,12,11.52,13.69,88.05,11.52
197,yerofey pavlovich,93,RU,1582915179,94,53.97,121.97,3.87,2.86
198,macomer,1,IT,1582915179,71,40.26,8.77,51.8,3.36
199,tevaitoa,100,PF,1582915179,75,-16.78,-151.5,81.88,10.4
200,rocha,22,UY,1582915179,23,-34.48,-54.33,88.79,16.13
201,mercedes,0,AR,1582915064,35,-34.65,-59.43,93.0,1.99
202,thompson,90,CA,1582915179,67,55.74,-97.86,17.6,5.82
