City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
545,jyderup,99,DK,1582872554,93,55.66,11.42,37.0,9.17
546,zhigansk,66,RU,1582872554,97,66.77,123.37,-4.65,5.12
547,rameswaram,71,IN,1582872554,74,9.28,79.3,80.92,14.05
548,sitka,90,US,1582872554,93,57.05,-135.33,39.2,13.87
549,takaka,19,NZ,1582872555,88,-40.85,172.8,72.0,5.01
550,port blair,0,IN,1582872555,70,11.67,92.75,81.57,12.91
551,paamiut,0,GL,1582872555,50,61.99,-49.67,-3.53,6.87
552,caravelas,95,BR,1582872465,83,-17.71,-39.25,80.6,14.67
553,cortez,1,US,1582872555,67,37.35,-108.59,30.0,9.17
554,luanda,40,AO,1582872366,83,-8.84,13.23,77.0,2.24
555,santander jimenez,0,MX,1582872555,62,24.22,-98.47,49.05,3.89
556,maceio,20,BR,1582872555,94,-9.67,-35.74,77.0,5.82
557,kamina,100,CD,1582872555,93,-8.74,24.99,65.93,2.26
558,quetta,3,PK,1582872468,42,30.2,67.01,49.84,5.53
559,rumoi,97,JP,1582872556,77,43.93,141.64,28.65,15.08
560,koslan,64,RU,1582872556,95,63.46,48.9,9.72,5.12
561,ipora,100,BR,1582872556,96,-16.44,-51.12,69.8,2.01
562,talara,85,PE,1582872556,85,-4.58,-81.27,77.0,13.29
563,santa maria,0,BR,1582872277,63,-29.68,-53.81,60.06,4.29
564,mumbwa,15,ZM,1582872556,88,-14.98,27.06,69.39,6.29
565,aljezur,39,PT,1582872556,74,37.32,-8.8,60.01,8.01
566,roanoke rapids,1,US,1582872556,53,36.46,-77.65,35.6,7.27
567,devonport,42,AU,1582872406,43,-41.17,146.35,68.0,11.01
568,buritis,94,BR,1582872487,92,-15.62,-46.42,69.04,2.39
569,san juan,20,AR,1582872557,36,-31.54,-68.54,76.42,4.18
570,hobyo,100,SO,1582872557,57,5.35,48.53,82.15,16.87
571,birao,0,CF,1582872557,16,10.28,22.79,74.44,11.34
572,san lazaro,85,BZ,1582872557,70,18.04,-88.66,68.74,7.07
573,bataipora,0,BR,1582872557,97,-22.3,-53.27,67.32,2.04
574,ust-karsk,100,RU,1582872557,85,52.7,118.81,16.38,6.58
575,brae,20,GB,1582872557,86,60.4,-1.35,35.6,5.82
576,nagato,75,JP,1582872558,67,34.38,131.2,46.99,13.87
577,san vicente,0,AR,1582872558,73,-26.62,-54.13,57.06,3.24
578,kutum,0,SD,1582872558,16,14.2,24.67,68.32,2.51
